speaker;painting;level_oei;description;joy_score;sadness_score;fear_score;anger_score;surprise_score;joy_evidence;sadness_evidence;fear_evidence;anger_evidence;surprise_evidence;analysis
Ксюша;Фермерша;Низкий;"Ну, я вижу женщину. Получается, я... мне кажется, я уже видела эту картину. Вторая половина 19 века, но я не могу говорить наверняка. Так, ну, это получается... Там, по-моему, так и было, что… Это же Пикассо? что, в общем, этот художник, он что-то ездил там в Африку, по-моему. Ну, мне кажется, что вот эта вот картина, она про силу. Ну, тут такая большая, в общем-то, фигура этой женщины, и она почти весь холст занимает. И... Ну, такое всё, у неё ещё фон сзади красный, и мне почему-то за это цеплялось всё. Типа, она сама светлая больше, фигура, а сзади вот красный фон. Ну, тут такие, типа, резкие очертания, короче, у неё. И она геометричная очень. Вот. И у неё нет рта кстати, только заметила. И волос длинных тоже нет.
 Так. Ну, вот ключица у неё выражено нарисована. Ну, мне кажется, что, типа, просила что-то. Ну, это, наверное, большая часть из-за того, что у неё большая фигура, типа. И, скажем, вот... Ну, как бы, тут сильно деталей нет. 
 Э-э-э... В плане... Так. Ну, у меня просто... Я не знаю, я смотрю, у меня сразу... Почему-то... Короче, представляется, типа... Всё, что за картиной, типа. Ну, типа, где он это рисовал, что... Мне всё кажется, что... Она, типа, сидит в каком-то таком, типа... Вигваме африканском, а-ля... Вот, что... Ну, я, короче, как будто представляю ситуацию, в которой это рисовалось. У меня ассоциация с деревней какой-то, что... Там, не знаю, по очереди зовут с работы... По-другому, она типа, весь день работает. Типа, он зовет их всех и рисует в шатре. У меня плохо с абстрактными ассоциациями, поэтому... Какого-то, наверное, нет.Э-э-э... Ну... Мне кажется... Что она, во-первых... Ну, такая, как... Серьёзная, наверное. Она не понимает, почему её оторвали от работы, ей надо нормально отработать. Типа, позвали сидеть и... Ну... Скорее всего, какая-то немножко... Отстранённая, я бы сказала. Типа... Закрытая, серьёзная такая. Ну... Ну, это, кстати, наверное, вот... Это такая ассоциация за то, что... Из-за -э-э, из того, типа, как лицо нарисовано... Что она, типа, нет рта, типа... Нет улыбки какой-то. И у неё... Как будто... Как будто уставшие глаза, хотя глаза плохо прориованы. И мне почему-то кажется, что она такая... Что она устала. М-м... Ну... Э-э-э... Это, конечно же, всё, что додумала моя голова. Потому что, но.. 
 Мне просто кажется, что, ну то, что я сначала говорила, изначально про силу, что у неё такая... Вот по ней видно, что я сказала, что она устала. Мне кажется, что у неё такая типа тяжёлая жизнь вообще, что она там много работает в этой своей деревне, у неё там, наверное, еще дети. И откликается так, что... ну, типа, потому что человек сильный и... Ну, это как-то... Ну, наверное, ещё как-то возможно это же какая-то другая культура, типа, потому что... Ну, я почему-то представляю, что да. И... ну, короче, не знаю, откликается в плане, типа, схожести, типа, просто как я... Ну, в плане схожести, наверное, никак, условно, но... В остальном. Ну, вот, да, то, что, типа, сильная женщина из какой-то африканской деревни..
 Ну, это, кстати, из того, что было написано. Я ещё вот так вот подумала, как... как... как эмоцию описать. Ну... Ну, я бы не сказала, что это, типа, там, радость, грусть. Это скорее что-то, типа, наверное, сочувствие, вот. Да, наверное, вот так. Ну, это потому что вот у меня как-то выстраивается цепочка с тем, что... Женщина, которая вот тут изображена, что у неё какая-то непростая судьба.";0.1;0.6;0.0;0.0;0.2;светлая фигура | сила | сильная женщина;уставшие глаза | тяжёлая жизнь | непростая судьба | устала;;;только заметила | нет рта | геометричная | ассоциация с деревней;Текст содержит элементы грусти, связанные с восприятием усталости и тяжёлой жизни женщины на картине. Есть небольшая радость, связанная с восприятием силы и светлой фигуры. Удивление проявляется в неожиданных деталях картины, таких как отсутствие рта и геометричность. Страх и гнев в тексте отсутствуют.
Михаил;Фермерша;Высокий;"Ну, я вижу женщину. Нуу, в некотором таком...Абстракционистском стиле. Вот. На каком-то красном фоне. Ну, похоже, как будто сзади что-то выражается. Ярось вот... но я написал ""грусть"", потому что ну вот... какие-то на первом, ну, первом плане это синяя юбка, скорее ассоциацируется с какой-то ностальгией, может быть, с какой-то грустью. Вот. Ну и женщина так вот выглядит — мягкие черты лица, вот что-то такое... Еще можно сказать, какой-то такой поток чувствуется, может из-за мазков, что как-то сверху вниз идет. Перспектива какая-то есть у картины.
 У меня какие-то ассоциации с Фридой Кало. Возможно, я по её буду описывать.. Ну, какая-то женщина. По виду, наверно, можно сказать — такого простого характера, работящя. Возможно, родительница нескольких детей. Ходит на работу, там простые какие-то радости... Ну, здесь она какая-то... как-то выглядит задумчиво, наверное. То, что я говорил, про настроение. Из-за цветов, светлые оттенки, особенно по сравнению с фоном, какие-то черты лица так... задумчиво, брови дугами, смотрит куда-то, как будто бы вдаль... но это, конечно, так не поймешь, куда смотрит... Мне кажется, вот. Наверное, из-за этого.
 Какой-то гипнотический эффект, не могу оторваться от её глаз. Смотрю, причем... ну, остальная часть тоже интересная, как-то... глаза, интонация в лице... Надо в терминах... Ну, скажем вот печаль, одиночество, скажем...Мой стиль в исуксстве так и выглядит";0.2;0.8;0.1;0.1;0.3;простые какие-то радости | светлые оттенки;грусть | ностальгией | печаль | одиночество | задумчиво | грустью;гипнотический эффект;ярось;гипнотический эффект | не могу оторваться от её глаз;Текст в основном передает грусть и задумчивость, что связано с описанием женщины и её черт лица, а также ассоциациями с ностальгией и одиночеством. Есть небольшие элементы радости, связанные с простыми радостями и светлыми оттенками. Удивление и страх выражены через гипнотический эффект и невозможность оторваться от глаз. Гнев почти отсутствует, но упоминается в контексте фона.
Ильдар;Фермерша;Средний;"Ну, не знаю, сначала мне было очень смешно, какой-то, это мужик, видимо. Похожий на одного персонажа из Флэш Рояля – знаешь такую игру? Ну, вот на гиганта похож. Напомнил мне его. Знаешь, гиганта? Ну, вот. Ну, я думаю, первое впечатление, это вот именно гигант, потом я начинаю всматриваться, будто бы начал видеть какую-то женщину большую, ну, не знаю, как-то... Да, но сейчас, сейчас вижу какое-то лицо стрёмное. Ой, мне уже страшно, я уже, я уже вижу птичку, у неё есть клюв, клюв, две... вот клюв, две брови, два глаза, ну, это уже, да, птичка какая-то, птичка с телом. Ну, какая-то картина, не знаю, очень много... Сразу три образа, получается, вижу. Это женщина, ну, первая, это вот гигант из игры, потом какая-то женщина из Индии, может быть, откуда-то... Ну, я не знаю, может, это... Ну, может быть, откуда-то там. Потом, взглядываясь ещё поглубже, что-то вижу какую-то птичку, прям, видишь? Есть такое? Вот, вижу птичку какую-то.
 На самом деле, после того, как я увидел птичку, её сложно развидеть. Ну... Ну, глаза какие-то такие... Расслабленные, особо... Так сказать... Ничего ему не нужно, просто смотрит, ждёт, пока всё закончится. Будто бы он пришёл ко мне на... Куда-то ко мне, в общем, пришёл и ждёт, пока я его отпущу с таким взглядом. Не знаю, что ты здесь видишь, но я вижу здесь, будто бы... Давай, давай, я слушаю, сейчас пойду там рыбу ловить. Ага. Какую-то усталость. Очень сильную усталость. И у него, будто бы, глаза слипаются. И он сейчас вот-вот заснет. . Мне уже плохо, когда смотрю на неё. Я не могу, потому что развидеть ничего, кроме птички.";0.2;0.4;0.5;0.0;0.3;мне было очень смешно | похожий на одного персонажа из Флэш Рояля;очень сильную усталость | глаза слипаются | мне уже плохо;сейчас вижу какое-то лицо стрёмное | мне уже страшно;;сначала мне было очень смешно | вижу птичку какую-то | сразу три образа;Текст содержит элементы радости из-за ассоциации с игрой и персонажем, но также присутствует страх из-за странного и стрёмного лица. Грусть выражена через усталость и невозможность развидеть птичку. Удивление связано с неожиданными образами, которые появляются при взгляде на картину. Гнев отсутствует.
Арина Б;Фермерша;Высокий;"Я вижу девочку из мультика «Энканто». Которая такая вот силачка была. Ты смотрела? Вот. И она... Она супер спокойная. Кстати, знаешь, вот я сейчас присматриваюсь к картине и вот как будто бы сейчас я вижу, что она какая-то невыспавшаяся, злая и уставшая. А до этого я видела, что она такая спокойная, с закрытыми глазами. Это огромный нос, и она такая... Вот. Но я, наверное, всё-таки придерживаюсь первого, что закрытые глаза, спокойные. Вот. Ну, слушай, если я уже сравнила это с персонажем из «Энканто», я думаю, что она сильная, добрая, чувствительная, ответственная. Так. Да. За, я не знаю, что это, нос или что? Глаза. И глаза. Потому что как раз-таки именно они дают мне две разных интерпретации, то есть, если я так смотрю отдалённо и не выглядываюсь, чисто в очертания, вот в этот жирный контур, то я думаю, что как раз-таки это закрытые глаза и нос, там, просто нос. Вот. А если я вглядываюсь получше, то вижу тут красную точку, например. Это как будто бы у неё открытый глаз, невыспавшийся. Вот. И это... Ну, это всё так же остаётся, просто то, что в красных оттенках, это как раз подчёркивает её усталость какую-то. Злость, возможно.
 С Испанией ассоциируются. Ну, я чувствую интерес, мне хочется её разглядывать, потому что тут есть такая текстурированность, не знаю, как это назвать. Вот. Возможно, я чувствую замешательство, как раз-таки потому что это как... А мне интерпретируют так или так? Мне больше нравится, когда она спокойная. Вот. Эм... Я сказала про интерес? Мне интересно, почему у неё красный, например, фон у неё такой тёмный, мрачный. Вот. Этот фон, он супер... Эм... Контрастный с её лёгкой светлой одеждой. И фон такой, типа... Вот. Я не знаю, нормально я сказала или что-то ещё?";0.3;0.2;0.1;0.2;0.4;супер спокойная | сильная, добрая, чувствительная, ответственная | мне хочется её разглядывать;невыспавшаяся | уставшая | мрачный;злая | усталость;злая | красный фон;две разных интерпретации | красная точка | контрастный фон;В тексте присутствуют элементы радости, связанные с положительными качествами персонажа и интересом к картине. Грусть и страх выражены через описание усталости и злости персонажа. Гнев проявляется в описании злости и красного фона. Удивление связано с различными интерпретациями картины и контрастами в изображении.
Миша;Фермерша;Высокий;"Ну, я вижу женщину. Нуу, в некотором таком...Абстракционистском стиле. Вот. На каком-то красном фоне. Ну, похоже, как будто сзади что-то выражается. Ярось вот... но я написал ""грусть"", потому что ну вот... какие-то на первом, ну, первом плане это синяя юбка, скорее ассоциацируется с какой-то ностальгией, может быть, с какой-то грустью. Вот. Ну и женщина так вот выглядит — мягкие черты лица, вот что-то такое... Еще можно сказать, какой-то такой поток чувствуется, может из-за мазков, что как-то сверху вниз идет. Перспектива какая-то есть у картины. У меня какие-то ассоциации с Фридой Кало. Возможно, я по её буду описывать.. Ну, какая-то женщина. По виду, наверно, можно сказать — такого простого характера, работящя. Возможно, родительница нескольких детей. Ходит на работу, там простые какие-то радости... Ну, здесь она какая-то... как-то выглядит задумчиво, наверное. То, что я говорил, про настроение. Из-за цветов, светлые оттенки, особенно по сравнению с фоном, какие-то черты лица так... задумчиво, брови дугами, смотрит куда-то, как будто бы вдаль... но это, конечно, так не поймешь, куда смотрит... Мне кажется, вот. Наверное, из-за этого. Какой-то гипнотический эффект, не могу оторваться от её глаз. Смотрю, причем... ну, остальная часть тоже интересная, как-то... глаза, интонация в лице... Надо в терминах... Ну, скажем вот печаль, одиночество, скажем...Мой стиль в исуксстве так и выглядит.";0.2;0.8;0.0;0.1;0.3;простые какие-то радости | светлые оттенки;грусть | ностальгия | печаль | одиночество | задумчиво | не могу оторваться от её глаз;;Ярось;гипнотический эффект | не могу оторваться от её глаз;Текст в основном передает грусть и задумчивость, что выражается через слова 'грусть', 'ностальгия', 'печаль', 'одиночество'. Есть небольшие элементы радости, связанные с 'простыми радостями' и 'светлыми оттенками'. Удивление выражено через 'гипнотический эффект'. Гнев почти отсутствует, но упоминается 'Ярось'. Страх отсутствует.
Полина;Фермерша;Средний;"Человека. Я бы даже сказала, девушку, женщину. Вот. Немножко сутулю. Вот. Красивого цвета. Мне просто нравится цвет одежды. Вот. Ещё мне кажется, что она немножко уставшая и... Ну, вот, да, уставшая. Почему-то мне так кажется. Вот она с таким лицом сидит. Вот. Ну, вот меня цвет одежды привлекает. Вот. И нос, наверное, тоже привлекает внимание. Вот.
 Ну, вот единственное, что я могу предположить, это что человек устал от всего, от всякого разного. Вот. И сидит немножко хмурый, хмурая. Вот. Мне кажется, она трудолюбивая. Вот. Что я ещё могу сказать? Я не знаю, что ещё сказать. Мне почему-то кажется, что каким-то физическим трудом. Не знаю каким, но каким-то физическим как будто бы. Вообще, мне кажется, что она, возможно, откуда-то из сельской местности. Вот. Ну, почему-то мне кажется, что вот она как будто бы такая одновременно боевая и... боевая жёстко и серьёзная, но при этом очень добрая. Что-то такое как будто бы. Как будто бы она не сильно выражает свои там чувства, эмоции, там, я не знаю, нежность, любовь, но при этом она очень добрая, как-то вот у неё это по-другому проявляется, в каких-то других поступках. Не знаю. Ну, в таких поступках, как будто бы... Ну, в помощи какой-то, во внимательности, возможно, которая кому-то другому не заметна, не будет заметна, вот. Почему-то так, мне кажется. Ну, в... как будто бы таком полууставшем, хмуром. Ну, вот пока я вот это всё описывала и придумывала, ну, надумывала, как будто бы такое полусочувствие, я не знаю. Что ещё? Ну, почему-то пока я описывала, мне эта картина приятнее стала. Вот.";0.3;0.5;0.0;0.0;0.2;Мне просто нравится цвет одежды | пока я описывала, мне эта картина приятнее стала;она немножко уставшая | человек устал от всего | сидит немножко хмурый, хмурая | полууставшем, хмуром;;;почему-то мне кажется | почему-то так, мне кажется;В тексте присутствуют эмоции грусти и усталости, так как описывается уставший и хмурый вид женщины. Есть небольшая радость от цвета одежды и того, что картина стала приятнее. Удивление выражено в повторяющихся фразах 'почему-то мне кажется'. Страх и гнев отсутствуют.
Катя Ш.;Фермерша;Низкий;"Интересно... мне кажется эта женщина... честно я не очень шарю за искусство, я прогуливала пары по истории искусства... женщина... я не знаю, какие эмоции она испытывает, но темно-красный фон и ее черты лица, они раскрашены красным цветом... мне кажется это одиночество... вот так выглядит... или... или это мужчина с бородой? Наверное, может быть какую-то усталость. 
 Какой-то рабочий, судя по всему. Что-то из более простой прослойки общества. Мне кажется, это 20 век. Ну вот чисто визуально я могу ошибаться, но мне вот и борода, и это футболка не напоминают о том, что он какой-то сельский рабочий скорее всего... Мне кажется такой тихий? Как будто бы он не особо задумывается над тем, что делает. Он такой простой. Он очень просто изображен, как бы.. Он просто живет свою жизнь, работает. все по классике. Может быть это прям совсем не так. Ну да, у меня сложилось впечатление, что он уставший от работы человек, и может быть это как-то говорит о... я забыла это слово... Когда всему приходит конец. Наверное, сочувствие. Я говорю. Мне кажется это одиночество. Я как бы... да, может быть, ассоциируюсь немного... Всмысле немного понимаю. По стилю. Я не особо разбираюсь, что это. Ну вот мне кажется это типа первой половины двадцатого века, может быть... и новое искусство. Но меня очень напрягают его черты лица. Этот огромный нос и близко расположенные глаза и отсутствие зрачков нормальных, вот из-за ракурса это напрягает. чисто из вот всего другого окружающего...";0.0;0.5;0.3;0.0;0.4;;одиночество | усталость | уставший от работы человек | сочувствие;напрягают его черты лица | отсутствие зрачков нормальных | напрягает;;Интересно... | я не знаю | мне кажется | может быть | я могу ошибаться;Текст содержит элементы грусти, связанные с одиночеством и усталостью изображенного человека. Также присутствует страх, вызванный чертами лица на картине. Удивление выражено через неуверенность и размышления о том, что изображено на картине. Радость и гнев в тексте отсутствуют.
Катя;Фермерша;Средний;Мне напоминает это женщину. Конкретно персонажа из мультика. Вот из “Энканто” похоже очень на Луизу. И на самом деле, мне кажется, мне не очень нравится эта картина, из-за того, что здесь очень много резких линий. Вот ключица, грудь, нос. И цвета использованы темные. Из-за этого сверху какая-то мрачность. Поэтому, ну, больше вначале я чувствовала удивление. Сейчас, наверное, больше страх из-за того, что резко все и темно. Ну, я думаю, это какая-то трудящаяся женщина с каким-то таким сильным характером. Что ей пришлось что-то испытать тяжелое, что она достаточно суровая. Ну, со стержнем, вот так сказать. Опять-таки, четкие линии и просто, что у женщины достаточно широкие плечи, и она просто выглядит крупно из-за того, что она, ну, вот, по всей ширине картины. Усталость, наверное, потому что... Ну, она выглядит как будто бы... Я получаю энергию, как будто бы она больше из прошлого, и что вот в этом прошлом она очень много работала, и сейчас просто села, чтобы ее нарисовали, и она отдыхает.;0.1;0.4;0.5;0.2;0.3;мне напоминает это женщину | персонажа из мультика | похоже очень на Луизу;темные цвета | мрачность | усталость | она очень много работала;страх из-за того, что резко все и темно | суровая | что-то испытать тяжелое;мне не очень нравится эта картина | резкие линии;вначале я чувствовала удивление;Текст содержит элементы грусти и страха из-за мрачности и резкости картины, а также упоминания о тяжелом прошлом женщины. Удивление присутствует в начале, но затем сменяется страхом. Небольшая радость связана с ассоциацией с персонажем из мультика. Гнев выражен в неприязни к резким линиям картины.
Лиза;Фермерша;Средний;Женщину. Наверное, не счастливую. У неё нет эмоций. Глаз у неё нет. Вообще она как-то страшненькая. Так сидит, сгорбившись. Устала, наверное. Не знаю. Ну нос, наверное. Большой треугольный. Глаза че-то они без зрачков. Пугающие. Не знаю. Обычный. NPC. Несчастный, может быть. Не знаю. Так вот, глаз нет. По чему предполагать-то? Обычный. После работы в поле. Уставшая. Вот.;0.0;0.6;0.4;0.0;0.2;;не счастливую | сгорбившись | устала | несчастный | уставшая;страшненькая | пугающие;;глаз у неё нет | глаза че-то они без зрачков;Текст содержит элементы грусти, так как описывается несчастная и уставшая женщина. Есть также элементы страха из-за описания её как 'страшненькая' и 'пугающие' глаза. Удивление присутствует в меньшей степени из-за необычного описания глаз. Радость и гнев отсутствуют.
Крис;Фермерша;Средний;"Женщину. Достаточно массивную. Какая-то маскулинность присутствует в ней. Первое, что у меня пришло, это какая-то гнев и агрессия. Поскольку цвета достаточно темные. И Мазки неаккуратные, скажем так. Картинка негладкая. Ну такая бой-баба, которая может за себя постоять, вероятнее всего.. Достаточно острая язык. Вот так я ощущаю.
 Какое-то раздражение. Не знаю, узкие глаза. Скованность какая-то, напряжение в верхней части ощущается. Ну, наверное, судя по тому, как я села, мне не очень приятно смотреть, поэтому не могу объяснить… Но какая-то некая агрессия и опасность ощущается. Внушение власти. Ассоциация? Деревня. Такая вот женщина, которая и коня на скаку остановит, и в горящую избу войдет. Вот такие ощущения.";0.0;0.1;0.4;0.8;0.2;;не очень приятно смотреть;какая-то агрессия и опасность ощущается | внушение власти;гнев и агрессия | раздражение | неаккуратные мазки | скованность | напряжение;какая-то маскулинность | бой-баба | острая язык;Текст содержит сильные эмоции гнева и агрессии, что выражено через описание картины и её элементов. Также присутствует страх, связанный с ощущением опасности и власти. Удивление выражено через неожиданные характеристики женщины на картине. Грусть и радость практически отсутствуют.
Алина;Фермерша;Средний;"Женщина. Большая, У неё очень.. Я пытаюсь понять выражение лица, но я не могу понять, что она из себя представляет, скажем так. Я даже не знаю, как будто бы просто смотрит на меня. Без явного раздражения. Сначала мне показалось, что она как будто может быть нахмуренная. Я смотрю, вроде нет. Вроде не хмурится. Мне сразу представилось, как будто она кухарка. Прям вот видно, как стоит там, скрывается. С кастрюлей чему-нибудь там моет. Ой, нет, не моет, варит. Ну вот прям на кухне чему-то, не знаю. Сразу представилось так.
 Она очень трудолюбива. Вот прям видно, что готова много трудиться. То, что... Может быть, не такая эмоциональная, как вот... Не сказать, что обычный человек, но короче, не сильно эмоциональная. Ну, наверное, так бы описала. Наверное, уважительно, потому что она выглядит, как человек большого труда. И как бы, ну, блин, это... Это серьезно. Я бы так не смогла.
 Мне видно, что она прям трудяшка. И, ну, наверное, да, меня вызывает какое-то уважение.";0.2;0.0;0.0;0.0;0.1;уважительно | вызывает какое-то уважение;;;;пытаюсь понять | не могу понять | как будто бы просто смотрит на меня;Текст содержит элементы уважения и небольшой радости, связанные с трудолюбием женщины. Удивление проявляется в попытках понять выражение лица и характер женщины. Грусть, страх и гнев отсутствуют.
Ксеша;Фермерша;Средний;"Ну, это как будто какая-то женщина-крестьянка. Очень уставшая от своей жизни, работы, семьи. Такая прям, типа, стирала белье пять дней. И вот она сейчас такая немножечко, как бы, невзрачненькая. Вот. 
 Ассоциация? Ну, с какой-то деревней. Типа, с какой-то старой деревней. Типа, как будто это какой-то там исторический момент, условно говоря. Ну, вот с какой-то такой семьей, возможно, не очень благополучной. Ну, типа, старая. Стандартная, базовая, сельская семья 200 лет назад. 100 лет назад. Вот. 
 Ну, наверное, как-то грустно немножко за нее, что она так уработалась. Ну,такая, там еще фон красненький, как будто нагнетающая обстановка.
 Ей как будто вообще не очень. Ну если бы, условно говоря, представить, что это фотография, то ей как-будто не очень нравится, что я фотографируют. Ну то есть она такая, типа, ну ладно, давайте, хорошо, давайте там я вам попозирую, условно говоря, а потом пойду дальше делать свои дела, укладывать спать десятерых детей. Ну так, типа, как будто ее немножечко заставили.
 Ну как будто просто вот у нее такие впалые глаза и возможно вообще мужик с бородой, но, наверное, нет. Ну и вот, наверное, фон, то что такой фон темный, что она так абстрактно нарисована.
 Я бы хотела посмотреть, как это выглядит в реализме. Ну типа, чтобы как-то больше понять, что здесь происходит, потому что так это буквально вот просто первое, что мне бросилось в глаза, а так если получше посмотреть, то может быть она и довольна. Но вот сейчас она не выглядит довольно. У нее еще такие опущенные брови. Грустная. Такая вот. Уставшая.";0.1;0.8;0.3;0.2;0.2;может быть она и довольна;очень уставшая от своей жизни | грустно немножко за нее | у нее такие опущенные брови | грустная | уставшая;фон красненький, как будто нагнетающая обстановка | темный фон;как будто ее немножечко заставили;как будто это какой-то там исторический момент | первое, что мне бросилось в глаза;Текст в основном передает грусть и усталость, связанные с образом женщины-крестьянки, которая уработалась и выглядит грустной и уставшей. Есть небольшие элементы страха из-за нагнетающей обстановки и темного фона. Удивление связано с историческим контекстом и первыми впечатлениями от картины. Радость почти отсутствует, но есть небольшая возможность, что женщина может быть довольна. Гнев выражен слабо, через ощущение принуждения.
Ульяна;Фермерша;Низкий;Женщину. Я не знаю, что тут ещё сказать. Ну, интересно, конечно, такое всё фигурно. Ну, каким-то физическим трудом. Она какая-то такая. Уставшая. Ну, она как будто вот... Вот так вот плечи у неё как-то... Не знаю. Грустно как-то. Устала. Ну, вот такие какие-то. Ну, сильная, и такая сильная женщина. Какой-то твердый такой характер. Не знаю. Ну, такой какой-то... Сначала, когда я первую секунду посмотрела... Мне показалось, что какой-то как... Ну, такие цвета яркие. И разный контраст такой цветов. Мне показалось, какой-то праздник какой-то. Такое вот было ощущение. А потом я сейчас вгляделась, и мне кажется, уже вообще никакого праздника нет. Как-то очень... И фон такой красный какой-то. Вот так.;0.3;0.7;0.0;0.0;0.4;интересно | цвета яркие | праздник | ощущение;грустно | уставшая | никакого праздника | очень;;;интересно | праздник | вгляделась | фон такой красный;В тексте присутствуют эмоции грусти и удивления. Грусть выражена через описание уставшей женщины и отсутствие праздника. Удивление связано с первоначальным восприятием ярких цветов и контраста, которые затем сменились на более грустное восприятие. Радость присутствует в меньшей степени, связанная с интересом и первоначальным ощущением праздника.
Катюшка;Фермерша;Низкий;"Что изображено на картине? Женщина, похожая на какую-то крепостную. Что-то крестьянское, рабочее в ней прослеживается, грубоватое, но, мне кажется, это из-за самого рисунка, таких острых линий и минималистичности, которая тут есть. Ну еще у нее очень расплывчато для меня прорисовано лицо, и, наверное, это тоже добавляет какого-то интереса. Потому что я не понимаю до конца, как она выглядит. Я понимаю, что это мог быть просто какой-то собирательный образ, может быть, это чей-то портрет, но в любом случае непонятно, какой живой человек стоит за ней. Вот. Ну пока, наверное, все. Ну, мне первое слово суровая. Наверное, потому что она такая достаточно собранная, у нее крупные черты лица. Хотя глаза не очень. Ну, в общем, она изображена такой достаточно, вот как это в русском называется, такая, наверное, слово «баба» ей подходит. Ну, в хорошем смысле. Ну, вот какая-то такая, наверное, работящая, немножко суровая, трудолюбивая, прямая, простая. Вот так вот. 
 Нос. Нос и вот этот вот странный переход от лица к телу. Я как будто это немножко напоминает бороду, но у меня это не вяжется с образом женщины здесь. Не понимаю, что это до конца. Или как будто это тень, то есть лицо заканчивается, вот я оранжевая, да, вот. Бордовый, это как будто тень от лица. Ну, в общем, я не до конца понимаю, как я это вижу, то есть, как что это для меня выглядит. Вот. Ну и нос, он в сравнении с глазами очень большой. И сейчас я заметила, что я не вижу губ, что нет рта. Вот. Наверное, да, вот эти черты меня в первую очередь привлекли. 
 Ну она сидит так, немножко сгорбившись. Ну как-то вот так. Как будто она устала, если честно. Ну то есть в таком. Спокойном достаточно состоянии, но, как будто, вот, если это реальный человек, как будто её заставили позировать немножко для картины. Вот. 
 То есть в таком расслабленном, но уставшем немножко, я бы так сказала. 
 Вот ее платье. Оно тоже у меня, ну не в первую очередь, но тоже я на него обратила внимание, оно немножко у меня не вяжется целиком, ну, в целом, с ее образом. То есть оно для меня какое-то слишком элегантное для нее. Возможно, грубовато звучит, но оно больше своими цветами, вот этим каким-то перламутром переливающимся напоминает, ну, как-то в сознании подходит для другого человека, нежели для нее. Вот, поэтому для меня оно немножко выбивается из картины.";0.1;0.3;0.1;0.0;0.4;добавляет какого-то интереса | перламутром переливающимся;как будто она устала | в расслабленном, но уставшем немножко;не понимаю до конца | не до конца понимаю;;странный переход от лица к телу | не вижу губ, что нет рта | платье... не вяжется целиком;Текст содержит элементы удивления из-за необычных черт картины, таких как странный переход от лица к телу и отсутствие рта. Есть небольшая грусть, связанная с усталым видом женщины. Присутствует легкий интерес, вызванный загадочностью образа и переливающимся платьем. Страх выражен в непонимании некоторых деталей картины. Гнев отсутствует.
Юлия;Фермерша;Высокий;Вероятно, изображена женщина, мне так кажется. Такую картину очень сложно описать, если честно. Такая с грубыми чертами лица, полная женщина изображенная на темном фоне, но при этом нарядно одетая. По ощущениям, она может быть какой-нибудь домработницей. По ощущениям, кажется, что у неё была тяжёлая жизнь. Возможно, у неё большая семья, которую она пытается прикормить. Самостоятельно, работая домработницей на какую-то богатую семью. Уставшая от работы. Исходя из того, как она изображена, у меня возникают именно такие мысли о ней.;0.1;0.7;0.2;0.0;0.1;нарядно одетая;тяжёлая жизнь | уставшая от работы | пытается прикормить | самостоятельно;тяжёлая жизнь;;очень сложно описать;Текст в основном передает грусть, так как описывается тяжёлая жизнь женщины, её усталость и необходимость заботиться о большой семье. Небольшая радость может быть связана с тем, что она нарядно одета, что может указывать на некоторую гордость или уважение. Удивление выражено в сложности описания картины. Страх присутствует в контексте тяжёлой жизни, но он не доминирует. Гнев отсутствует.
