painting,speaker,level,sentences,радость_model1,грусть_model1,страх_model1,гнев_model1,удивление_model1,радость_model2,грусть_model2,страх_model2,гнев_model2,удивление_model2,радость_model3,грусть_model3,страх_model3,гнев_model3,удивление_model3,радость_model4,грусть_model4,страх_model4,гнев_model4,удивление_model4
Кандинский,Алина,Средний,"Ну, я очень вот эту картину.. /// понравилась такая. /// Ну, эм…",3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,Приятненькая такая. /// Вот. /// На подумать.,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"Пустое пространство немножечко. /// Забирает на себя очень много картин… /// ну, места картины, и такое пустое поле.",1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"Сначала подумала о доме, и теперь как будто конь. /// Но всё-таки больше на… /// на дом.",1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,Сначала.. /// Два чупакабрика идут. /// Дорогу куда-то.,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"Тут прям хорошо прослеживается. /// достаточно. /// Ну, за счёт вот этих вот…",2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"Чупакабриков. /// Не знаю, ну, прям тело и ножки вместе дают.. /// Немножко сумбурности какой-то, потому что ну, всё навалено, и чтобы что-то в ней рассмотреть, нужно…",1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Эм… /// Сначала подумала о доме, и теперь как будто конь. /// Но всё-таки больше на…",1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"Это если будет конь, то они идут без цели. /// Как-то… /// не по-товарищески.",1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,,,,,
Кандинский,Алина,Средний,"достаточно. /// Ну, за счёт вот этих вот… /// Чупакабриков.",1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,,,,,
Кандинский,Алина,Средний,"на дом. /// Ну, они как будто идут, у них есть цель хотя бы куда идти. /// Это если будет конь, то они идут без цели.",1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,не по-товарищески. /// Всё должно быть с целью. /// В картине даже какой-то сюжет имеется?,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"немножко тревожнее становится. /// Вот. /// Ну, я очень вот эту картину..",1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"ну, места картины, и такое пустое поле. /// Место здесь пусто, а здесь очень много. /// И как-то хочется немножечко рассредоточить.",1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"помню, мне хватает сюда ещё чего-нибудь. /// Пустое пространство немножечко. /// Забирает на себя очень много картин…",1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"понравилась такая. /// Ну, эм… /// Как будто бы вот…",2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"разные ассоциации подключить. /// Вот. /// Ну, и опять же за счёт цветовой гаммой, ну, то, что она более спокойная такая.",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,разные… /// эм… /// эм…,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,эм… /// разные ассоциации подключить. /// Вот.,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,эм… /// эм… /// разные ассоциации подключить.,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алёна Л,Средний,А чё произойдет. /// Вот. /// Какое-то вот предчувствие чего-то нехорошего.,1.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"В общем, какой-то такой немножечко природный, около городской пейзаж, как деревня, поселок. /// Но тут я больше опишу, наверное, не по тому, что происходит, а по тому, как ощущается. /// В общем, почему я сначала подумала про радость?",3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0
Кандинский,Алёна Л,Средний,"В общем, почему я сначала подумала про радость? /// Потому что ну вот всё такое яркое, красочное, вот, такие жёлтые, зелёные, прикольненько, вот. /// Но если вот в эту часть посмотреть, она намного темнее, чем остальные части, и она такая.",3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0
Кандинский,Алёна Л,Средний,"Вот ты знаешь… /// Точнее, ты не знаешь, что будет дождь, но ты чувствуешь, что воздух такой очень сильно густой, и влажность сразу выше, у тебя начинает немножечко вот так вот болеть голова, потому что ты припец такой метеочувствительный, и ты чувствуешь, что ну вот-вот-вот, вот-вот, или ливанёт. /// И вот такое же чувство примерно от этой картины.",1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0
Кандинский,Алёна Л,Средний,"Вот это… /// Ну они, конечно, треугольники, но это что-то человекоподобное ощущается. /// Что-то едет или идёт.",1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
Кандинский,Алёна Л,Средний,"Вот, и они как будто бы резонируют с вот этим вот общим пейзажем. /// И, наверное, поэтому это вызвало удивление какое-то. /// Не знаю…",1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0
Кандинский,Алёна Л,Средний,"Вот, как будто бы что-то такое сзади подбирается. /// Ну, сходу нет, я думаю. /// Да.",1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Вот, потому что тревога, она всё-таки хоть какие-то мысли вызывает, а предчувствие, оно просто есть, и ты такой… /// А чё произойдет. /// Вот.",1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Вот. /// И вот это вот меня, наверное, больше всего смущает, даже больше, чем темные цвета, это вот эти вот резкие палки, которые вообще не вписываются в вот это вот обилие пятен, по форме. /// они, вот, что-то такое, тревожное вызывают.",1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,,,,,
Кандинский,Алёна Л,Средний,"Вот. /// Какие-то тут треугольники, меня очень смущают, какие-то фигуры, какие-то холмы. /// В общем, какой-то такой немножечко природный, около городской пейзаж, как деревня, поселок.",1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
Кандинский,Алёна Л,Средний,Вот. /// Какое-то вот предчувствие чего-то нехорошего. /// Как это вот в эти эмоции?,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Вот. /// Может, наоборот? /// Может, тут всё наоборот назад уходит, вот эта вот светлая часть, а всё плохое уже позади, но у меня почему-то не такие эмоции.",1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,,,,,
Кандинский,Алёна Л,Средний,"Вот. /// Нет. /// Не знаю, есть какой-то…Вот эти тёмные цвета на фоне меня смущают.",1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Вот. /// Ну не знаю, как будто бы какой-то такой… /// Типа не что-то сильно страшное надвигается, но такой непогожий, неприятный день.",1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0
Кандинский,Алёна Л,Средний,Да. /// Просто что-то такое. /// Затишье перед бурей.,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,Затишье перед бурей. /// Немножечко. /// Но бурю уже видно.,1.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"И вот такое же чувство примерно от этой картины. /// Вот, как будто бы что-то такое сзади подбирается. /// Ну, сходу нет, я думаю.",1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"И здесь какие-то резкие тёмные линии, даже… /// Не знаю, можно ли это штрихом назвать, я не очень сильно в искусстве разбираюсь. /// Вот, и они как будто бы резонируют с вот этим вот общим пейзажем.",1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Кандинский,Алёна Л,Средний,"И меня это.. /// сильно смущает, её присутствие здесь. /// Меня очень смущает то, что ну здесь вот всё плавненько, всё растушёвано, красивенько.",1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0
Кандинский,Алёна Л,Средний,"И, наверное, поэтому это вызвало удивление какое-то. /// Не знаю… /// Ну вот это вот выглядит как холм, а вот это вот выглядит как небо, а вот это вот какие-то там, не знаю, домики, может, какой-то частокол, ну тогда почему здесь палки?",1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0
Кандинский,Алёна Л,Средний,"Как будто бы это какое-то такое немножечко нагнетение, как будто, знаешь, вот такое вот чувство, как когда… /// Вот ты знаешь… /// Точнее, ты не знаешь, что будет дождь, но ты чувствуешь, что воздух такой очень сильно густой, и влажность сразу выше, у тебя начинает немножечко вот так вот болеть голова, потому что ты припец такой метеочувствительный, и ты чувствуешь, что ну вот-вот-вот, вот-вот, или ливанёт.",1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,Как это вот в эти эмоции? /// Не знаю. /// Наверное…,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Какие-то тут треугольники, меня очень смущают, какие-то фигуры, какие-то холмы. /// В общем, какой-то такой немножечко природный, около городской пейзаж, как деревня, поселок. /// Но тут я больше опишу, наверное, не по тому, что происходит, а по тому, как ощущается.",1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0
Кандинский,Алёна Л,Средний,Какое-то вот предчувствие чего-то нехорошего. /// Как это вот в эти эмоции? /// Не знаю.,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Меня очень смущает то, что ну здесь вот всё плавненько, всё растушёвано, красивенько. /// И здесь какие-то резкие тёмные линии, даже… /// Не знаю, можно ли это штрихом назвать, я не очень сильно в искусстве разбираюсь.",1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
Кандинский,Алёна Л,Средний,"Мне кажется, это немножечко разные вещи. /// Вот, потому что тревога, она всё-таки хоть какие-то мысли вызывает, а предчувствие, оно просто есть, и ты такой… /// А чё произойдет.",1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Может, наоборот? /// Может, тут всё наоборот назад уходит, вот эта вот светлая часть, а всё плохое уже позади, но у меня почему-то не такие эмоции. /// Вот.",1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,,,,,
Кандинский,Алёна Л,Средний,"Может, тут всё наоборот назад уходит, вот эта вот светлая часть, а всё плохое уже позади, но у меня почему-то не такие эмоции. /// Вот. /// И вот это вот меня, наверное, больше всего смущает, даже больше, чем темные цвета, это вот эти вот резкие палки, которые вообще не вписываются в вот это вот обилие пятен, по форме.",1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,,,,,
Кандинский,Алёна Л,Средний,"На фоне. /// И меня это.. /// сильно смущает, её присутствие здесь.",1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Наверное… /// Ну, это как бы предчувствие плохого, это скорее ближе к страху. /// Но страх слишком простая и понятная, и такая довольно яркая эмоция, относительно предчувствия.",1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Не знаю, есть какой-то…Вот эти тёмные цвета на фоне меня смущают. /// Как будто бы это какое-то такое немножечко нагнетение, как будто, знаешь, вот такое вот чувство, как когда… /// Вот ты знаешь…",1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Не знаю, можно ли это штрихом назвать, я не очень сильно в искусстве разбираюсь. /// Вот, и они как будто бы резонируют с вот этим вот общим пейзажем. /// И, наверное, поэтому это вызвало удивление какое-то.",1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
Кандинский,Алёна Л,Средний,"Не знаю. /// Наверное… /// Ну, это как бы предчувствие плохого, это скорее ближе к страху.",1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Не знаю… /// Ну вот это вот выглядит как холм, а вот это вот выглядит как небо, а вот это вот какие-то там, не знаю, домики, может, какой-то частокол, ну тогда почему здесь палки? /// Я думаю, тут нет…",1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
Кандинский,Алёна Л,Средний,"Немножечко. /// Но бурю уже видно. /// Ну если изначально отталкиваться от того, как я это трактовала, что вот там вот где-то деревушка, вот тут вот какие-то, не знаю, мирные жители, вот этот вот холл, то, ну, просто как будто бы какой-то…",1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0
Кандинский,Алёна Л,Средний,"Нет. /// Не знаю, есть какой-то…Вот эти тёмные цвета на фоне меня смущают. /// Как будто бы это какое-то такое немножечко нагнетение, как будто, знаешь, вот такое вот чувство, как когда…",1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0
Кандинский,Алёна Л,Средний,"Но бурю уже видно. /// Ну если изначально отталкиваться от того, как я это трактовала, что вот там вот где-то деревушка, вот тут вот какие-то, не знаю, мирные жители, вот этот вот холл, то, ну, просто как будто бы какой-то… /// Я не уверена, что это можно вообще типа пытаться в какие-то конкретные образы заключить, потому что я не уверена, что тут автор отражает.",1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0
Кандинский,Алёна Л,Средний,"Но если вот в эту часть посмотреть, она намного темнее, чем остальные части, и она такая. /// На фоне. /// И меня это..",1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Но страх слишком простая и понятная, и такая довольно яркая эмоция, относительно предчувствия. /// Вот. /// Может, наоборот?",1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,,,,,
Кандинский,Алёна Л,Средний,"Но тут я больше опишу, наверное, не по тому, что происходит, а по тому, как ощущается. /// В общем, почему я сначала подумала про радость? /// Потому что ну вот всё такое яркое, красочное, вот, такие жёлтые, зелёные, прикольненько, вот.",4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0
Кандинский,Алёна Л,Средний,"Ну вот сейчас, да, сейчас мнение поменялось. /// Ну, я бы сказала, тревогу… /// Ну, даже не то, чтобы тревога, а вот именно плохое предчувствие.",1.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Кандинский,Алёна Л,Средний,"Ну вот это вот выглядит как холм, а вот это вот выглядит как небо, а вот это вот какие-то там, не знаю, домики, может, какой-то частокол, ну тогда почему здесь палки? /// Я думаю, тут нет… /// Чёт-чёт.",1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
